unit,task_id,mixer,seed,p,strategy,status,loss,energy_report,p_opt,p_feas,p_opt_given_feas,objective_evaluations,gradient_evaluations,work_credits,work_budget,nominal_layer_work,fit_seconds,iterations,winner_call,active_parameter_count,earlier_parameter_change,incomplete_previous_calls_charged,ancestor_calls,ancestor_gradients,ancestor_credits,ancestor_layer_work,ancestor_fit_seconds,cumulative_layer_work,cumulative_credits,cumulative_fit_seconds,cumulative_calls,parent_record,parent_sha256,winner_sha256,has_state,complex_state_sha256,independent_state_error,cnot,ancillas,one_qubit,toffoli,initial_parameters_sha256,anchor_present,prefix_present
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,11,FROZEN_LAYERWISE,CONVERGED,0.36521265833318317,0.36521265833318284,4.630180141037746e-06,1.3702460567930768e-05,0.3379086637821982,12,11,34,64,374,1.2359490394592285,5,12,2,0.0,0,101,92,285,1767,5.340999126434326,2141,319,6.576948165893555,113,fits/tv2_m16_branch_00__X__s9101/p010/FROZEN_LAYERWISE/WINNER.json,ac98303f706f5e546fe671bd5b14aaf7a853c452e6dfc8e708d8a3bef5aaea44,5f1d0725669200ea9a46cc13f745563180389144f5ad053f68ea9f4384172984,False,,,109670,509,136867,14828,350197160b3ce20685203fbcb489eeb613abac9f582c42bd112606613955cc20,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,11,WARM_JOINT,BUDGET_EXHAUSTED,0.3448746894993289,0.34487468949932887,1.591844844797003e-06,8.820214371446633e-06,0.18047688840196738,22,21,64,64,704,2.371788501739502,18,22,22,3.5352346238039596,0,166,157,480,3144,8.769342422485352,3848,544,11.141130924224854,188,fits/tv2_m16_branch_00__X__s9101/p010/WARM_JOINT/WINNER.json,7e2f87423f3f75975c08af2a568262304e76e45b0beae3b9f58d9aa33c1b050b,44fb048e8a7d457d4d627e6e3c04090e8ddb84bcee1fb9b77667cc9fec32ab3e,False,,,109670,509,136867,14828,caed4fb9eec0ce4a97eca5528b3ba357c954952698c1af6e4cdcccd949d6fde1,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,12,FROZEN_LAYERWISE,CONVERGED,0.36445279652177576,0.3644527965217758,4.234759952625026e-06,1.344344023515968e-05,0.3150056740349488,13,12,37,64,444,1.4566655158996582,5,13,2,0.0,0,113,103,319,2141,6.576948165893555,2585,356,8.033613681793213,126,fits/tv2_m16_branch_00__X__s9101/p011/FROZEN_LAYERWISE/WINNER.json,5f1d0725669200ea9a46cc13f745563180389144f5ad053f68ea9f4384172984,079ea3044b80d001ef74b8866ea448e979df92d486c74c398f89654df8a39c3a,False,,,119640,509,149308,16176,636c2d2ccbb32c182e31788c4d28f91980b8c4ddedf74df748a140b2ade65ea4,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,12,WARM_JOINT,BUDGET_EXHAUSTED,0.34468740740886383,0.34468740740886383,3.3684640685828105e-06,9.605302893238037e-06,0.35068795914329254,22,21,64,64,768,2.6021807193756104,19,21,24,3.2493203809573075,0,188,178,544,3848,11.141130924224854,4616,608,13.743311643600464,210,fits/tv2_m16_branch_00__X__s9101/p011/WARM_JOINT/WINNER.json,44fb048e8a7d457d4d627e6e3c04090e8ddb84bcee1fb9b77667cc9fec32ab3e,bc31cb9aad19e8a150984512764affb6cb8a22c8e91ebffa17b5fe3a1a8c9cc0,False,,,119640,509,149308,16176,4fae664cd33d9017f5aa864fd03a06558d9ebe6c61c5394d219684294b0db40c,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,13,FROZEN_LAYERWISE,CONVERGED,0.36381291476611277,0.363812914766112,4.454428579870498e-06,1.4033097403643342e-05,0.3174230500754607,14,13,40,64,520,1.7474861145019531,5,14,2,0.0,0,126,115,356,2585,8.033613681793213,3105,396,9.781099796295166,140,fits/tv2_m16_branch_00__X__s9101/p012/FROZEN_LAYERWISE/WINNER.json,079ea3044b80d001ef74b8866ea448e979df92d486c74c398f89654df8a39c3a,8fb90ec1b2ec38e912f9bc4ae743f70bffb3445f4c05c223f0e7348d6f198f4d,False,,,129610,509,161749,17524,5b4f426befdd898a6a4c0957831cb6ca609c2c8dc5788eac6b8021b0f04ebb19,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,13,WARM_JOINT,BUDGET_EXHAUSTED,0.34468333265978357,0.34468333265978357,3.5255864678727937e-06,8.849471755250291e-06,0.3983951319784826,22,21,64,64,832,2.8013222217559814,17,22,26,0.1412130487815486,0,210,199,608,4616,13.743311643600464,5448,672,16.544633865356445,232,fits/tv2_m16_branch_00__X__s9101/p012/WARM_JOINT/WINNER.json,bc31cb9aad19e8a150984512764affb6cb8a22c8e91ebffa17b5fe3a1a8c9cc0,04f374c8466557cc881a3553492be6bc189814c3e9df7676829cfa33c7f99b75,False,,,129610,509,161749,17524,e8af4e9958e567c6f374002990ef69dad6a772c82a2c00ad64cb1a3ab8b250f5,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,14,FROZEN_LAYERWISE,CONVERGED,0.36327366433573116,0.3632736643357308,4.07619261311115e-06,1.35894865671689e-05,0.29995192187458364,14,13,40,64,560,1.8553075790405273,5,14,2,0.0,0,140,128,396,3105,9.781099796295166,3665,436,11.636407375335693,154,fits/tv2_m16_branch_00__X__s9101/p013/FROZEN_LAYERWISE/WINNER.json,8fb90ec1b2ec38e912f9bc4ae743f70bffb3445f4c05c223f0e7348d6f198f4d,482f9f99cb779be3fa8f95f848836304c963fd1cca280e209ce3153cdb1b61f5,False,,,139580,509,174190,18872,64b79d7729a5202bb92a6672a061a9346d728c5c52281274fc5f387000796161,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,14,WARM_JOINT,BUDGET_EXHAUSTED,0.344682042093649,0.34468204209364933,4.3032562804967405e-06,9.178299943510746e-06,0.46885112787572764,22,21,64,64,896,2.9772918224334717,17,21,28,0.13068735716560997,0,232,220,672,5448,16.544633865356445,6344,736,19.521925687789917,254,fits/tv2_m16_branch_00__X__s9101/p013/WARM_JOINT/WINNER.json,04f374c8466557cc881a3553492be6bc189814c3e9df7676829cfa33c7f99b75,dfea62007abfca3e7b150245d8fb742e56e8676c8a38b8ed5a9b0659e08bf4a2,False,,,139580,509,174190,18872,dc8292165568f371c969ab51b17c374f6924dcc0ded7398798e45a7d877bd903,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,15,FROZEN_LAYERWISE,CONVERGED,0.36310827476385243,0.36310827476385243,4.028931071532689e-06,1.3612610679312936e-05,0.29597049136617487,14,13,40,64,600,2.042534828186035,5,14,2,0.0,0,154,141,436,3665,11.636407375335693,4265,476,13.678942203521729,168,fits/tv2_m16_branch_00__X__s9101/p014/FROZEN_LAYERWISE/WINNER.json,482f9f99cb779be3fa8f95f848836304c963fd1cca280e209ce3153cdb1b61f5,1aa0934056084069128b84422173bd7c298c489a76faa993913c7156049cb931,False,,,149550,509,186631,20220,0877ddaeb9f2069014961f1ce0348b24a1ede4f856502d3a0f74652758dbe793,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,15,WARM_JOINT,BUDGET_EXHAUSTED,0.3446810463599718,0.34468104635997143,4.277614770979372e-06,9.470111377596506e-06,0.4516963529171313,22,21,64,64,960,3.263044595718384,19,22,30,0.11343016217540303,0,254,241,736,6344,19.521925687789917,7304,800,22.7849702835083,276,fits/tv2_m16_branch_00__X__s9101/p014/WARM_JOINT/WINNER.json,dfea62007abfca3e7b150245d8fb742e56e8676c8a38b8ed5a9b0659e08bf4a2,2044d72dacbf904d0d005d1fa41b7dcbcdf3f426608baa7e124e7fe90483edb9,False,,,149550,509,186631,20220,18ab2f075242053f68fbfa75354732c1f8bf3d3bc54f6d967465250269db77d8,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,16,FROZEN_LAYERWISE,CONVERGED,0.3631082746098488,0.3631082746098482,4.0289564417648756e-06,1.3612613889190442e-05,0.2959722853054846,4,3,10,64,160,0.5618066787719727,2,4,2,0.0,0,168,154,476,4265,13.678942203521729,4425,486,14.240748882293701,172,fits/tv2_m16_branch_00__X__s9101/p015/FROZEN_LAYERWISE/WINNER.json,1aa0934056084069128b84422173bd7c298c489a76faa993913c7156049cb931,b66bb68213fa9054fd616365957febb3efb44b1fce9c51c585db64b16f017c58,True,d83062322ad4f53b1d5aac25738fe0db4f108b38f57775662f3dfb723be26d51,3.8163916471489756e-16,159520,509,199072,21568,61c153ec3d7929e5a951029b805f56c9c68e3b324ee088e80c7a0936ae5ad48a,True,True
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,16,WARM_JOINT,BUDGET_EXHAUSTED,0.34468077912411577,0.3446807791241162,4.492593484020133e-06,9.544112940089213e-06,0.47071880982771963,22,21,64,64,1024,3.467363119125366,18,22,32,0.038988746040967914,0,276,262,800,7304,22.7849702835083,8328,864,26.252333402633667,298,fits/tv2_m16_branch_00__X__s9101/p015/WARM_JOINT/WINNER.json,2044d72dacbf904d0d005d1fa41b7dcbcdf3f426608baa7e124e7fe90483edb9,391736f350aaf335b815cca7eb399b83103336bad3785667de33429835d4f92a,True,27df27c61b6b8c21ebe93247d45036eab712d6d0a20c31b4d6a52c81f1baa132,3.6692579655131937e-16,159520,509,199072,21568,dc50925a19b0b458db82b792d842390ef348ac70d02057f27ba963001e4d852a,True,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,16,RANDOM_JOINT,BUDGET_EXHAUSTED,0.3538187322976333,0.35381873229763317,2.0528520120640263e-05,5.3091823162906786e-05,0.3866606738602782,21,21,63,64,1008,3.4049081802368164,17,21,32,4.598626398766433,0,0,0,0,0,0.0,1008,63,3.4049081802368164,21,,,a01ad91ed7612cca15f6d851a179120ab2edc8bce5f8262dfa0b3a67c0689209,True,c3c1eb04208517c9f08da8fe85bf0f95f0a967792ba6bf0dd11ae7df79da7221,1.0838898772828417e-16,159520,509,199072,21568,cdecc3a0efb909a549aab7ea3852c5fc99211aeb8c18753eb66ac27e57127d8d,False,False
tv2_m16_branch_00__X__s9101,tv2_m16_branch_00,X,9101,17,FROZEN_LAYERWISE,CONVERGED,0.3630731668906047,0.36307316689060465,4.194251891149116e-06,1.3950780284304637e-05,0.3006464015398386,15,14,43,68,731,2.4659037590026855,5,15,2,0.0,0,172,157,486,4425,14.240748882293701,5156,529,16.706652641296387,187,fits/tv2_m16_branch_00__X__s9101/p016/FROZEN_LAYERWISE/WINNER.json,b66bb68213fa9054fd616365957febb3efb44b1fce9c51c585db64b16f017c58,c312b2adccc6ce7cfdbe027dda297d56745d7867b587e894f2ea2fbff91961e4,False,,,169490,509,211513,22916,6753e2e00622d385da092dcefff05ed6f0a24033f38a581833d7c3860bd93939,True,True
