unit,strategy,rank,mask,cost,optimal,probability
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,6,10896,293,False,0.00019401347775019868
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,7,16836,306,False,8.862542617165786e-05
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,8,17794,316,False,6.502143963238375e-05
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,9,25472,324,False,4.948562907493965e-05
tv2_m16_bottleneck_00__X__s9101,FROZEN_LAYERWISE,10,29058,387,False,5.298055605454055e-06
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,1,236,274,True,0.20785227597441502
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,2,2260,275,False,0.2055119735746238
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,3,1194,284,False,0.15211742214541665
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,4,3218,285,False,0.14919272784671395
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,5,8872,292,False,0.10342473368490288
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,6,10896,293,False,0.10055015558740174
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,7,16836,306,False,0.04124271352672175
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,8,17794,316,False,0.020553317585047876
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,9,25472,324,False,0.010564350802246766
tv2_m16_bottleneck_00__X__s9101,WARM_JOINT,10,29058,387,False,0.002251703758277574
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,1,236,274,True,0.08641385062318566
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,2,2260,275,False,0.08612690104961256
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,3,1194,284,False,0.08166688543271229
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,4,3218,285,False,0.08137969233741786
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,5,8872,292,False,0.07472366398372494
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,6,10896,293,False,0.07437865795489514
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,7,16836,306,False,0.059839877868641776
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,8,17794,316,False,0.04491931556747596
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,9,25472,324,False,0.03406843237450524
tv2_m16_bottleneck_00__X__s9101,RANDOM_JOINT,10,29058,387,False,0.002302014136102644
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,1,236,274,True,0.0003275677307833057
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,2,2260,275,False,0.00032694281934565945
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,3,1194,284,False,0.00024373324197824882
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,4,3218,285,False,0.00023942525257912616
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,5,8872,292,False,0.00018527492859931086
